Code	Name	Description 2	Price	MAP price	Default set qts	Width	Depth	Height	Weight	Volume	Manufacturer	Category Type	Stock Status	New Arrivals	Parent Category	Category	Refine Categories	Image 1	Image 2	Image 3	Image 4	Image 5	Image 6	Image 7	Image 8	Image 9	Image 10	Image 11	Image 12	Image 13	Image 14	Qty	No of Boxes	(Box 1) Markings	(Box 1) Depth	(Box 1) Width	(Box 1) Height	(Box 1) Weight	(Box 2) Markings	(Box 2) Depth	(Box 2) Width	(Box 2) Height	(Box 2) Weight	(Box 3) Markings	(Box 3) Depth	(Box 3) Width	(Box 3) Height	(Box 3) Weight	(Box 4) Markings	(Box 4) Depth	(Box 4) Width	(Box 4) Height	(Box 4) Weight	(Box 5) Markings	(Box 5) Depth	(Box 5) Width	(Box 5) Height	(Box 5) Weight	(Box 6) Markings	(Box 6) Depth	(Box 6) Width	(Box 6) Height	(Box 6) Weight	(Box 7) Markings	(Box 7) Depth	(Box 7) Width	(Box 7) Height	(Box 7) Weight	(Box 8) Markings	(Box 8) Depth	(Box 8) Width	(Box 8) Height	(Box 8) Weight	(Box 9) Markings	(Box 9) Depth	(Box 9) Width	(Box 9) Height	(Box 9) Weight	(Box 10) Markings	(Box 10) Depth	(Box 10) Width	(Box 10) Height	(Box 10) Weight	(Box 11) Markings	(Box 11) Depth	(Box 11) Width	(Box 11) Height	(Box 11) Weight	(Box 12) Markings	(Box 12) Depth	(Box 12) Width	(Box 12) Height	(Box 12) Weight	(Box 13) Markings	(Box 13) Depth	(Box 13) Width	(Box 13) Height	(Box 13) Weight	(Box 14) Markings	(Box 14) Depth	(Box 14) Width	(Box 14) Height	(Box 14) Weight	(Box 15) Markings	(Box 15) Depth	(Box 15) Width	(Box 15) Height	(Box 15) Weight	sku	Parent  Sku	Color	Material	Finish
	Granada Bedroom SET	Modern high-end bedroom composition in white high gloss finish will add your house beautiful and clean look. Bed available in King and Queen Size with Storage or without. Chest and Double Dresser Available. All drawers are equipped with self closing mechanisms. *2 Lights and 1 switch on the headboard  Finishes: WHITE HIGH GLOSS / ARENA HIGH GLOSS /  FABRIC ELFOS BLANCO Made in Spain  Recommended mattress height is no more than 12 "  <iframe width="560" height="315" src="https://www.youtube.com/embed/6Yx4ykzx4Xg" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/ZTZimP5on1g" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/iUX-CtzJ760" frameborder="0" allowfullscreen></iframe>	2386	4175.5							Fenicia  Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Beds with Storage,Wardrobes,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada-Bedroom.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_21.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada_side_22.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada-Bedroom_side_1.gif																																																																																			p6832		White, Grey/Silver	Wood veneer, MDF	High Gloss Lacquer
WFRAMEKINGS	Wooden Slat Frame, King Size folded in 2 parts with 6 legs 193x200		90	157.5	0	80.31	82.6	12.6	25	0.18																						0	2	Wooden Slat Frame	8	83	8	25	2	2	59	10	0																																																																		i11288	p6832
GRANADAPLATFORMK.S	Granada Platform K.S. White	Needs Wframe K.S	389	680.75	0		86		67																							0	2	Rails and Foot Board	9	83	8	0	Metal Support	57	13	3	0																																																																		i11287	p6832
GRANADAH/BK.S	Granada H/B  K.S.w/ lights		997	1744.75	0	128	2.83	41.34	136.4	0.27																						0	6	Headboard	5	83	49	0	Under Headboard	4	82	20	0	Wings	10	24	49	0		0	0	0	0		0	0	0	0		0	0	0	0																																														i11286	p6832
WFRAMEQUEENS	Wooden Slat Frame, Queens Size, folded in 2 parts, with 6 legs, 150x200		65	113.75	1	63.78	82.6	12.6	20																							1	2	Wooden Slat Frame	8	67	8	25	2	2	59	10	0																																																																		i11292	p6832
GRANADASTORAGEPLQ.S	Granada Platform w/Storage   Q.S  White		656	1148	0	63	86	11	209																							0	5	Bottom for Storage Q.S	83	30	1	0	Storage Hardware Q.S	82	15	3	0	Storage Foot Board Q.S	13	64	5	0	Storage Rails Q.S	13	84	5	0	Wooden Frame	80	60	2	35																																																			i11293	p6832
GRANADAPLATFORMQ.SW	Granada Platform Q.S White	Need Wframe Q.S.	315	551.25	1	60	79	11	52.8																							1	2		9	83	8	0		57	13	3	0																																																																		i11291	p6832
GRANADAN/S	Nightstand Left		147	257.25	1	22.83	19.09	7.8	14	0.1																						1	1	Nightstand	11	26	20	44																																																																							i10909	p6832
GRANADADRESSERWHITE	Granada 120 Dresser		620	1085	1	46.46	17.09	36.61	74	0.64																						1	1	Single Dresser	38	49	20	173																																																																							i10910	p6832
GRANADAMIRROR	Granada Mirror		147	257.25	1	39.37	0.79	39.37	25	0.056																						1	1	Mirror	2	41	41	52																																																																							i10911	p6832
GRANADACHEST	Granada Chest		490	857.5	0	22.83	17.09	46.06	51	0.42																						0	1	Chest	49	26	19	124																																																																							i10912	p6832
GRANADADRESSER150	Granada 150 Dresser		810	1417.5	0	58.27	16.34	32.91	80	0.7																						0	1	Double Dresser	36	61	20	80																																																																							i10913	p6832
GRANADAMIRRORBIG	Standing Mirrror		350	612.5	0	30	1.57	76.46	30	0.16																						0	1	Standing Mirror	4	79	32	30																																																																							i10914	p6832
GRANADAH/BQ.S	Granada H/B  Q.S.w/ lights		945	1653.75	1	111	2.83	41.34	80.8	0.24																						1	6	1	5	66	26	0	2	4	65	20	0		26	26	12	36		12	85	4	35		12	67	3	17		76	30	1	20																																														i11290	p6832
GRANADAN/SRIGHT	Nightstand Right		147	257.25	1	22.83	17.09	7.8	14	0.1																						1	1	Nightstand	11	26	20	44																																																																							i11480	p6832
GRANADASTORAGEPLK.S	Granada Platform w/Storage K.S		1061	1856.75	0	79.41	83.93	13.78	253	0.352																						0	5	2 Side Rails	4	83	16	0	Hardware	4	29	4	0	Headboard Support + Middle + Footboard	9	83	16	0	Bottom	1	83	39	0	Slat	2	77	81	0																																																			i11289	p6832
GRANADATVPANEL	Granada TV Panel		620	1085	0	55.12	16.93	53.74	36	0.5																						0	2	1	12	57	25	0		0	0	0	0																																																																		i11481	p6832
GRANADAWALLUNIT	Granada Wall unit White		1449	2535.75	0	95	17	73	370																							0	10	Box 1/10	5	57	44	0	Box 2/10	12	57	24	0	Box 3/10	1	54	38	0	Box 4/10	1	92	21	0	Box 5/10	3	91	21	0	Box 6/10	2	17	16	0	Box 7/10	2	17	16	0	Box 8/10	4	19	21	0	Box 9/10	1	32	17	0	Box 10/10	4	12	8	0																										i11482	p6832
MIRRORSUPPORT	Mirror Supports for Dresser	"Optional"	10	17.5	0	2	2	60	5																							0	1	Box 1	2	2	60	5																																																																							i21322	p6832			
